year_month,prix Mwh,arenh price
janv. 2012,41.89,42
févr. 2012,82.45,42
mars 2012,44.63,42
avr. 2012,44.92,42
mai 2012,38.96,42
juin 2012,40.34,42
juil. 2012,41.75,42
août 2012,45.26,42
sept. 2012,46.32,42
oct. 2012,49.23,42
nov. 2012,47.51,42
déc. 2012,41.98,42
janv. 2013,50.64,42
févr. 2013,54.46,42
mars 2013,57.75,42
avr. 2013,45.94,42
mai 2013,31.18,42
juin 2013,23.39,42
juil. 2013,34.36,42
août 2013,35.18,42
sept. 2013,43.3,42
oct. 2013,44.54,42
nov. 2013,49.11,42
déc. 2013,49.71,42
janv. 2014,39.14,42
févr. 2014,38.69,42
mars 2014,35.58,42
avr. 2014,33.73,42
mai 2014,30.11,42
juin 2014,30.65,42
juil. 2014,25.49,42
août 2014,22.76,42
sept. 2014,37.22,42
oct. 2014,41.83,42
nov. 2014,38.82,42
déc. 2014,41.98,42
janv. 2015,41.33,42
févr. 2015,50.15,42
mars 2015,43.81,42
avr. 2015,39.54,42
mai 2015,26.49,42
juin 2015,32.1,42
juil. 2015,37.95,42
août 2015,32.11,42
sept. 2015,37.45,42
oct. 2015,44.95,42
nov. 2015,41.73,42
déc. 2015,35.13,42
janv. 2016,33.63,42
févr. 2016,25.46,42
mars 2016,27.1,42
avr. 2016,25.48,42
mai 2016,24.27,42
juin 2016,28.01,42
juil. 2016,30.08,42
août 2016,29.69,42
sept. 2016,37.19,42
oct. 2016,55.59,42
nov. 2016,65.14,42
déc. 2016,59.26,42
janv. 2017,78.0,42
févr. 2017,51.16,42
mars 2017,35.42,42
avr. 2017,34.93,42
mai 2017,34.02,42
juin 2017,32.7,42
juil. 2017,34.74,42
août 2017,32.02,42
sept. 2017,36.95,42
oct. 2017,49.68,42
nov. 2017,63.43,42
déc. 2017,56.96,42
janv. 2018,34.95,42
févr. 2018,48.7,42
mars 2018,48.4,42
avr. 2018,33.6,42
mai 2018,34.42,42
juin 2018,42.32,42
juil. 2018,51.41,42
août 2018,58.4,42
sept. 2018,61.97,42
oct. 2018,65.63,42
nov. 2018,67.8,42
déc. 2018,54.78,42
janv. 2019,61.16,42
févr. 2019,46.62,42
mars 2019,33.92,42
avr. 2019,38.08,42
mai 2019,37.21,42
juin 2019,29.21,42
juil. 2019,37.66,42
août 2019,33.39,42
sept. 2019,35.54,42
oct. 2019,38.6,42
nov. 2019,45.94,42
déc. 2019,36.46,42
janv. 2020,38.01,42
févr. 2020,26.25,42
mars 2020,23.61,42
avr. 2020,13.45,42
mai 2020,14.99,42
juin 2020,25.66,42
juil. 2020,33.38,42
août 2020,36.65,42
sept. 2020,47.11,42
oct. 2020,37.89,42
nov. 2020,40.27,42
déc. 2020,48.36,42
janv. 2021,59.36,42
févr. 2021,49.08,42
mars 2021,50.16,42
avr. 2021,62.98,42
mai 2021,55.46,42
juin 2021,73.43,42
juil. 2021,78.37,42
août 2021,75.97,42
sept. 2021,135.01,42
oct. 2021,172.26,42
nov. 2021,217.06,42
déc. 2021,274.67,42
janv. 2022,211.42,42
févr. 2022,185.55,42
mars 2022,295.2,42
avr. 2022,233.1,42
mai 2022,197.43,42
juin 2022,248.4,42
juil. 2022,401.57,42
août 2022,492.49,42
sept. 2022,394.7,42
oct. 2022,178.88,42
nov. 2022,191.88,42
déc. 2022,270.89,42
janv. 2023,132.1,42
févr. 2023,148.76,42
mars 2023,111.96,42
avr. 2023,106.58,42
mai 2023,77.55,42
juin 2023,91.29,42
juil. 2023,77.65,42
août 2023,90.87,42
sept. 2023,88.71,42
oct. 2023,84.26,42
nov. 2023,88.96,42
déc. 2023,68.58,42
janv. 2024,76.59,42
févr. 2024,58.37,42
mars 2024,53.07,42
avr. 2024,28.2,42
mai 2024,27.2,42
juin 2024,37.6,42
juil. 2024,47.03,42
août 2024,54.56,42
sept. 2024,51.86,42
oct. 2024,62.06,42
nov. 2024,100.53,42
déc. 2024,98.18,42
janv. 2025,102.27,42
févr. 2025,122.66,42
mars 2025,76.88,42
avr. 2025,42.21,42
mai 2025,19.38,42
juin 2025,40.74,42
juil. 2025,57.98,42
août 2025,54.44,42
sept. 2025,33.06,42
